Сортировка;Код;Наименование;Загол-ок (title);Подробное описание;Краткое описание;Цена;Старая цена;Cклад;Продано;META Keywords;META Description;Стоимость доставки;Ограничение на минимальный заказ товара (штук);Файл;Производитель;Страна производителя;Кожух;Способ пуска;Модель двигателя;Тип двигателя;Топливо;Частота вращения двигателя, об/мин;Способ охлаждения;Уровень шума, дБ;Габаритные размеры, мм (ДхШхВ);Вес, кг
0;1093;Бензиновая электростанция MOSA GE 7500 BS/GS;Бензиновая электростанция MOSA GE 7500 BS/GS;;"<a href=""/mosa.html""> Бензиновые генераторы MOSA</a>.";0;0;0;0;Бензиновая электростанция MOSA GE 7500 BS/GS;Бензиновая электростанция MOSA GE 7500 BS/GS;0;1;;MOSA;Италия;без кожуха;электростарт;;Бензиновый;АИ-92;;воздушное;74;;
0;926;Бензиновая электростанция MOSA GI 2000SX;Бензиновая электростанция MOSA GI 2000SX;;"Бензиновые электростанции <a href=""/mosa.html"">MOSA</a> 1-600 квт.";0;0;0;0;Бензиновая электростанция MOSA GI 2000SX;Бензиновая электростанция MOSA GI 2000SX;0;1;;MOSA;Италия;в кожухе;электростарт;;Бензиновый;АИ-92;;воздушное;68;;
0;925;Бензиновая электростанция АБП 1,5-230 ВР;Бензиновая электростанция АБП 1,5-230 ВР;"&nbsp;";"<a href=""/vepr.html"">Вепрь&nbsp;бензо генератор</a>.";16800;0;0;0;Бензиновая электростанция АБП 1,5-230 ВР;Бензиновая электростанция АБП 1,5-230 ВР;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Robin EY 15D;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};74;560х340х480;30
0;1164;Бензиновая электростанция АБП 10-230 ВХ-БСГ9;Бензиновая электростанция АБП 10-230 ВХ-БСГ9;"&nbsp;";"<a href=""/vepr.html"">Вепрь дизельная электростанция</a>.";127000;0;0;0;Бензиновая электростанция АБП 10-230 ВХ-БСГ9;Бензиновая электростанция АБП 10-230 ВХ-БСГ9;0;1;;{Вепрь};Россия;{без кожуха};{электростарт};Honda GX630;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;960х600х720;132
0;1153;Бензиновая электростанция АБП 10/Т400 ВХ-БСГ;Бензиновая электростанция АБП 10/Т400 ВХ-БСГ;"&nbsp;";"<a href=""/vepr.html"">Вепрь электростанции</a>. генератор.";125500;0;0;0;Бензиновая электростанция АБП 10/Т400 ВХ-БСГ;Бензиновая электростанция АБП 10/Т400 ВХ-БСГ;0;1;;{Вепрь};Россия;{без кожуха};{электростарт};Honda GX630;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;960х600х720;135
0;1165;Бензиновая электростанция АБП 12-Т400 ВХ-БСГ;Бензиновая электростанция АБП 12-Т400 ВХ-БСГ;"&nbsp;";"Бензиновая  <a href=""/vepr.html"">Электростанция Вепрь</a>.";128000;0;0;0;Бензиновая электростанция АБП 12-Т400 ВХ-БСГ;Бензиновая электростанция АБП 12-Т400 ВХ-БСГ;0;1;;{Вепрь};Россия;{без кожуха};{электростарт};Honda GX630;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;960х600х720;150
0;948;Бензиновая электростанция АБП 2,2-230 ВХ;Бензиновая электростанция АБП 2,2-230 ВХ;"&nbsp;";"Бензиновая электростанция Вепрь, <a href=""/vepr.html""> дизельный генератор Вепрь</a>.";20800;0;0;1;Бензиновая электростанция АБП 2,2-230 ВХ;Бензиновая электростанция АБП 2,2-230 ВХ;0;1;;{Вепрь};Россия;{без кожуха};{ручной};HONDA GX160;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;560х460х400;37
0;949;Бензиновая электростанция АБП 2,2-230 ВХ-Б;Бензиновая электростанция АБП 2,2-230 ВХ-Б;"&nbsp;";"Бензиновые <a href=""/vepr.html"">Вепрь электростанции</a>..";24500;0;0;0;Бензиновая электростанция АБП 2,2-230 ВХ-Б;Бензиновая электростанция АБП 2,2-230 ВХ-Б;0;1;;{Вепрь};Россия;{без кожуха};{ручной};HONDA GX160;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;650х410х560;39
0;965;Бензиновая электростанция АБП 2,7-230 ВБП;Бензиновая электростанция АБП 2,7-230 ВБП;"&nbsp;";"Бензиновые <a href=""/vepr.html"">Вепрь</a> электростанция.";22500;0;0;0;Бензиновая электростанция АБП 2,7-230 ВБП;Бензиновая электростанция АБП 2,7-230 ВБП;0;1;;{Вепрь};Россия;{без кожуха};{ручной};B&S ProOHV;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};74;580х400х490;35
0;966;Бензиновая электростанция АБП 2,7-230 ВХ;Бензиновая электростанция АБП 2,7-230 ВХ;"&nbsp;";"<a href=""/vepr.html""> Бензиновые генераторы Вепрь</a> продажа.";25000;0;0;0;Бензиновая электростанция АБП 2,7-230 ВХ;Бензиновая электростанция АБП 2,7-230 ВХ;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Honda GX200;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;580х460х400;40
0;967;Бензиновая электростанция АБП 2,7-230 ВХ-Б;Бензиновая электростанция АБП 2,7-230 ВХ-Б;"&nbsp;";"<a href=""/vepr.html""> Бензиновые генераторы Вепрь</a>.";27300;0;0;0;Бензиновая электростанция АБП 2,7-230 ВХ-Б;Бензиновая электростанция АБП 2,7-230 ВХ-Б;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Honda GX200;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;650х410х560;43
0;1192;Бензиновая электростанция АБП 20-Т400 ВБ-БС;Бензиновая электростанция АБП 20-Т400 ВБ-БС;"&nbsp;";"Бензиновые  <a href=""/vepr.html"">электростанции Вепрь</a> 1-600 квт.";193500;0;0;0;Бензиновая электростанция АБП 20-Т400 ВБ-БС;Бензиновая электростанция АБП 20-Т400 ВБ-БС;0;1;;{Вепрь};Россия;{без кожуха};{электростарт};B&S Vanguard;{бензиновый 4-х тактный};{АИ-92};{3000};{жидкостное};76;1010х540х1070;200
0;1009;Бензиновая электростанция АБП 4,2-230 ВX;Бензиновая электростанция АБП 4,2-230 ВX;"&nbsp;";"Бензиновые  <a href=""/vepr.html"">электростанции Вепрь</a>.";39100;0;0;0;Бензиновая электростанция АБП 4,2-230 ВX;Бензиновая электростанция АБП 4,2-230 ВX;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Honda GX270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;700х580х500;58
0;1020;Бензиновая электростанция АБП 4,2-230 ВX-БCГ;Бензиновая электростанция АБП 4,2-230 ВX-БCГ;"&nbsp;";"Бензиновые электростанции Вепрь, <a href=""/vepr.html""> дизельный генератор Вепрь</a>.";44400;0;0;0;Бензиновая электростанция АБП 4,2-230 ВX-БCГ;Бензиновая электростанция АБП 4,2-230 ВX-БCГ;0;1;;{Вепрь};Россия;{без кожуха};{электростарт};B&S Vanguard;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};74;700х510х570;82
0;1014;Бензиновая электростанция АБП 4,2-230 ВX-БГ;Бензиновая электростанция АБП 4,2-230 ВX-БГ;"&nbsp;";"Бензиновый  <a href=""/vepr.html"">генератор Вепрь</a>.";46600;0;0;0;Бензиновая электростанция АБП 4,2-230 ВX-БГ;Бензиновая электростанция АБП 4,2-230 ВX-БГ;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Honda GX270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};68;700х510х570;65
0;1064;Бензиновая электростанция АБП 5-230 ВХ;Бензиновая электростанция АБП 5-230 ВХ;"&nbsp;";"Бензиновый генератор Вепрь, дизельные  <a href=""/vepr.html"">электростанции Вепрь</a>.";46600;0;0;0;Бензиновая электростанция АБП 5-230 ВХ;Бензиновая электростанция АБП 5-230 ВХ;0;1;;{Вепрь};Россия;{без кожуха};{ручной};HONDA GX390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;870х580х540;72
0;1103;Бензиновая электростанция АБП 6-230 ВX;Бензиновая электростанция АБП 6-230 ВX;"&nbsp;";"Бензиновый генератор Вепрь, <a href=""/vepr.html""> дизельный генератор Вепрь</a>.";49000;0;0;0;Бензиновая электростанция АБП 6-230 ВX;Бензиновая электростанция АБП 6-230 ВX;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Honda GX390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};74;860,50х580х540;75
0;1104;Бензиновая электростанция АБП 6-230 ВX-БГ;Бензиновая электростанция АБП 6-230 ВX-БГ;"&nbsp;";"Выбор <a href=""/vepr.html"">Вепрь</a> и доставка.";53500;0;0;0;Бензиновая электростанция АБП 6-230 ВX-БГ;Бензиновая электростанция АБП 6-230 ВX-БГ;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Honda GX390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;820х530х610;85
0;1107;Бензиновая электростанция АБП 6-230 ВX-БСГ;Бензиновая электростанция АБП 6-230 ВX-БСГ;"&nbsp;";"Гарантия  <a href=""/vepr.html"">генератор Вепрь</a>.";62000;0;0;0;Бензиновая электростанция АБП 6-230 ВX-БСГ;Бензиновая электростанция АБП 6-230 ВX-БСГ;0;1;;{Вепрь};Россия;{без кожуха};{электростарт};Honda GX390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;820х530х610;90
0;1086;Бензиновая электростанция АБП 7/4-T400/230 ВX;Бензиновая электростанция АБП 7/4-T400/230 ВX;"&nbsp;";"Генератор Вепрь, дизельная  <a href=""/vepr.html"">Электростанция Вепрь</a>.";59700;0;0;0;Бензиновая электростанция АБП 7/4-T400/230 ВX;Бензиновая электростанция АБП 7/4-T400/230 ВX;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Honda GX390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};74;870х580х540;82
0;1091;Бензиновая электростанция АБП 7/4-T400/230 ВX-БСГ;Бензиновая электростанция АБП 7/4-T400/230 ВX-БСГ;"&nbsp;";"Генератор бензиновый <a href=""/vepr.html"">Вепрь</a>.";71200;0;0;0;Бензиновая электростанция АБП 7/4-T400/230 ВX-БСГ;Бензиновая электростанция АБП 7/4-T400/230 ВX-БСГ;0;1;;{Вепрь};Россия;{без кожуха};{электростарт};HONDA GX390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;820х530х610;96
0;1089;Бензиновая электростанция АБП 7/4-Т400/230 ВX-БГ;Бензиновая электростанция АБП 7/4-Т400/230 ВX-БГ;"&nbsp;";"Генераторы и электростанции - <a href=""/vepr.html"">Вепрь</a>.";65100;0;0;0;Бензиновая электростанция АБП 7/4-Т400/230 ВX-БГ;Бензиновая электростанция АБП 7/4-Т400/230 ВX-БГ;0;1;;{Вепрь};Россия;{без кожуха};{ручной};Honda GX390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;820х530х610;92
0;971;Бензиновый генератор Eisemann E 4401;Бензиновый генератор Eisemann E 4401;"&nbsp;";"Бензиновый генератор <a href=""/eisemann.html"">eisemann</a>.";44100;0;0;0;Бензиновая электростанция Eisemann E4401;Бензиновая электростанция Eisemann E4401;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Honda GX 240;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;60
0;1000;Бензиновый генератор Eisemann E 5400;Бензиновый генератор Eisemann E 5400;"&nbsp;";"Бензиновый генератор eisemann, дизельные <a href=""/eisemann.html""> электростанции eisemann</a>.";65940;0;0;0;Бензиновая электростанция Eisemann E5400;Бензиновая электростанция Eisemann E5400;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Honda GX 240;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;72
0;1071;Бензиновый генератор Eisemann E 7400;Бензиновый генератор Eisemann E 7400;"&nbsp;";"Гарантия генератор <a href=""/eisemann.html"">eisemann</a>.";70980;0;0;0;Бензиновая электростанция Eisemann E7400;Бензиновая электростанция Eisemann E7400;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};71;740х400х430;78
0;1184;Бензиновый генератор Eisemann H 13000E;Бензиновый генератор Eisemann H 13000E;<br />;"Гарантия электростанция <a href=""/eisemann.html"">eisemann</a>.";216720;0;0;0;Бензиновая электростанция Eisemann H 13000E;Бензиновая электростанция Eisemann H 13000E;0;1;;{Eisemann};Германия;{без кожуха};{электростарт};B&S 380447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};71;790х550х650;130
0;1185;Бензиновый генератор Eisemann H 13000E BLC;Бензиновый генератор Eisemann H 13000E BLC;<br />;"Генератор eisemann, дизельная электростанция <a href=""/eisemann.html"">eisemann</a>.";281400;0;0;0;Бензиновая электростанция Eisemann H 13000E auto;Бензиновая электростанция Eisemann H 13000E auto;0;1;;{Eisemann};Германия;{без кожуха};{автозапуск};B&S 380447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};71;790х550х650;137
0;;Бензиновый генератор Eisemann H 2801;Бензиновый генератор Eisemann H 2801;"&nbsp;";"&nbsp;";25880;0;0;0;Бензиновая электростанция Eisemann H 2801;Бензиновая электростанция Eisemann H 2801;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Mitsubishi GT 600;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};68;655х470х510;58
0;972;Бензиновый генератор Eisemann H 4401;Бензиновый генератор Eisemann H 4401;"&nbsp;";"Генераторы - электростанции - <a href=""/eisemann.html"">eisemann</a>.";82740;0;0;0;Бензиновая электростанция Eisemann H 4401;Бензиновая электростанция Eisemann H 4401;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;90
0;974;Бензиновый генератор Eisemann H 4401 E BLC;Бензиновый генератор Eisemann H 4401 E BLC;"&nbsp;";"Генераторы и электростанции - <a href=""/eisemann.html"">eisemann</a>.";149940;0;0;0;Бензиновая электростанция Eisemann H 4401 E auto;Бензиновая электростанция Eisemann H 4401 E auto;0;1;;{Eisemann};Германия;{без кожуха};{автозапуск};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;98
0;973;Бензиновый генератор Eisemann H 4401E;Бензиновый генератор Eisemann H 4401E;"&nbsp;";"Дешевые бензиновые <a href=""/eisemann.html""> электростанции eisemann</a>.";105420;0;0;0;Бензиновая электростанция Eisemann H 4401E;Бензиновая электростанция Eisemann H 4401E;0;1;;{Eisemann};Германия;{без кожуха};{электростарт};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;98
0;1002;Бензиновый генератор Eisemann H 5400;Бензиновый генератор Eisemann H 5400;<br />;"Дешевые дизельные генераторы <a href=""/eisemann.html"">eisemann</a>.";90960;0;0;0;Бензиновая электростанция Eisemann H 5400;Бензиновая электростанция Eisemann H 5400;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;90
0;1003;Бензиновый генератор Eisemann H 5400E;Бензиновый генератор Eisemann H 5400E;<br />;"Дизель генератор <a href=""/eisemann.html"">eisemann</a>.";115920;0;0;0;Бензиновая электростанция Eisemann H 5400E;Бензиновая электростанция Eisemann H 5400E;0;1;;{Eisemann};Германия;{без кожуха};{электростарт};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;98
0;1005;Бензиновый генератор Eisemann H 5400E BLC;Бензиновый генератор Eisemann H 5400E BLC;<br />;"Дизель <a href=""/eisemann.html""> электростанции eisemann</a> Москва.";166740;0;0;0;Бензиновая электростанция Eisemann H 5400E auto;Бензиновая электростанция Eisemann H 5400E auto;0;1;;{Eisemann};Германия;{без кожуха};{автозапуск};Honda GX 27;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;98
0;1045;Бензиновый генератор Eisemann H 7400;Бензиновый генератор Eisemann H 7400;"&nbsp;";"Дизель <a href=""/eisemann.html""> электростанции eisemann</a> продажа.";113400;0;0;0;Бензиновая электростанция Eisemann H 7400;Бензиновая электростанция Eisemann H 7400;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;108
0;1046;Бензиновый генератор Eisemann H 7400E;Бензиновый генератор Eisemann H 7400E;"&nbsp;";"Дизель <a href=""/eisemann.html""> электростанции eisemann</a>.";133140;0;0;0;Бензиновая электростанция Eisemann H 7400E;Бензиновая электростанция Eisemann H 7400E;0;1;;{Eisemann};Германия;{без кожуха};{электростарт};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;117
0;1047;Бензиновый генератор Eisemann H 7400E BLC;Бензиновый генератор Eisemann H 7400E BLC;"&nbsp;";"Дизельные генераторы <a href=""/eisemann.html"">eisemann</a> продажа.";183960;0;0;0;Бензиновая электростанция Eisemann H 7400E auto;Бензиновая электростанция Eisemann H 7400E auto;0;1;;{Eisemann};Германия;{без кожуха};{автозапуск};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;117
0;968;Бензиновый генератор Eisemann P 4401;Бензиновый генератор Eisemann P 4401;"&nbsp;";"Недорогие бензиновые <a href=""/eisemann.html""> электростанции eisemann</a>.";61320;0;0;0;Дизельная электростанция Eisemann P 4401;Дизельная электростанция Eisemann P 4401;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;70
0;969;Бензиновый генератор Eisemann P 4401E;Бензиновый генератор Eisemann P 4401E;"&nbsp;";"Недорогие дизельные <a href=""/eisemann.html""> электростанции eisemann</a>.";84420;0;0;0;Дизельная электростанция Eisemann P 4401E;Дизельная электростанция Eisemann P 4401E;0;1;;{Eisemann};Германия;{без кожуха};{электростарт};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;85
0;1070;Бензиновый генератор Eisemann P 7401;Бензиновый генератор Eisemann P 7401;"&nbsp;";"Представитель линейки Profline от <a href=""/eisemann.html"">eisemann</a>. Максимальная мощность аппарата 6,45 кВт при расходе топлива 2,7 л/ч и емкости бака 20  л. Размеры сравнительно небольшие - 740x500x530 мм, а вес 95,5 кг. Модель отличается низкой токсичностью, хорошими  пусковыми качествами холодного двигателя, компактностью и прочностью.";84420;0;0;0;Дизельная электростанция Eisemann P 7401;Дизельная электростанция Eisemann P 7401;0;1;;{Eisemann};Германия;{без кожуха};{ручной};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};71;740х500х530;95
0;1072;Бензиновый генератор Eisemann P 7401E;Бензиновый генератор Eisemann P 7401E;"&nbsp;";"Представитель линейки Profline от <a href=""/eisemann.html"">eisemann</a>. <a href=""/page_28.html"">Электрогенератор</a> основан на базе модели Eisemann P7401, и отличается от нее только наличием блока электростарта, о чем говорит индекс &quot;E&quot; в названии модели. Наличие дополнительного блока так же сказалось на массе аргегата - она увеличилась на 9 килограмм по сравнению с базовой моделью.<br />";100800;0;0;0;Дизельная электростанция Eisemann P 7401E;Дизельная электростанция Eisemann P 7401E;0;1;;{Eisemann};Германия;{без кожуха};{электростарт};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};71;740х500х530;105
0;1073;Бензиновый генератор Eisemann P 7401E BLC;Бензиновый генератор Eisemann P 7401E BLC;"&nbsp;";"Отличные <a href=""/eisemann.html""> электростанции eisemann</a>.";147840;0;0;0;Дизельная электростанция Eisemann P 7401E auto;Дизельная электростанция Eisemann P 7401E auto;0;1;;{Eisemann};Германия;{без кожуха};{автозапуск};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};71;740х500х530;105
0;1143;Бензиновый генератор Eisemann P10001E;Бензиновый генератор Eisemann P10001E;"&nbsp;";"Предлагаем <a href=""/eisemann.html""> электростанции eisemann</a> Москва.";168420;0;0;0;Бензиновая электростанция Eisemann P10001E;Бензиновая электростанция Eisemann P10001E;0;1;;{Eisemann};Германия;{без кожуха};{электростарт};B&S 350447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};71;900х645х615;145
0;1186;Бензиновый генератор Eisemann T13000E;Бензиновый генератор Eisemann T13000E;"&nbsp;";"Дизельные <a href=""/eisemann.html""> электростанции eisemann</a> продажа.";310800;0;0;0;Бензиновая электростанция Eisemann T13000E;Бензиновая электростанция Eisemann T13000E;0;1;;{Eisemann};Германия;{в кожухе};{электростарт};B&S 380447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};61;820х440х580;150
0;1055;Бензиновый генератор Eisemann T6600E;Бензиновый генератор Eisemann T6600E;"&nbsp;";"Дизельный электрогенератор <a href=""/eisemann.html"">eisemann</a>.";153720;0;0;0;Бензиновая электростанция Eisemann T6600E;Бензиновая электростанция Eisemann T6600E;0;1;;{Eisemann};Германия;{без кожуха};{электростарт};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};65;820х550х620;138
0;1135;Бензиновый генератор Eisemann T9000E;Бензиновый генератор Eisemann T9000E;"&nbsp;";"Доставка генераторы <a href=""/eisemann.html"">eisemann</a>.";211260;0;0;0;Бензиновая электростанция Eisemann T9000E;Бензиновая электростанция Eisemann T9000E;0;1;;{Eisemann};Германия;{в кожухе};{электростарт};B&S 350447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};61;880х650х620;187
0;1158;Бензиновый генератор Geko 12000 ED-S/SEBA S;Бензиновый генератор Geko 12000 ED-S/SEBA S;"&nbsp;";"<a href=""/geko.html"">Geko дизельная электростанция</a>.";181020;0;0;0;Бензиновая электростанция Geko 12000 ED-S/SЕBA;Бензиновая электростанция Geko 12000 ED-S/SЕBA;0;1;;{Geko};Германия;{без кожуха};{электростарт};B&S 3504427;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};68;820х440х580;148
0;1181;Бензиновый генератор Geko 13000 ED-S/SEBA SS;Бензиновый генератор Geko 13000 ED-S/SEBA SS;"&nbsp;";"Бензиновая  <a href=""/geko.html"">электростанция Geko</a>.";310800;0;0;0;Бензиновая электростанция Geko 13000 ED–S/SEBA SS;Бензиновая электростанция Geko 13000 ED–S/SEBA SS;0;1;;{Geko};Германия;{в кожухе};{электростарт};B&S 380447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};61;820х440х580;150
0;1179;Бензиновый генератор Geko 13001 ED-S/SЕBA;Бензиновый генератор Geko 13001 ED-S/SЕBA;"&nbsp;";"Бензиновая электростанция Geko, <a href=""/geko.html""> дизельный генератор Geko</a>.";216720;0;0;0;Бензиновая электростанция Geko 13001 ED–S/SEBA;Бензиновая электростанция Geko 13001 ED–S/SEBA;0;1;;{Geko};Германия;{без кожуха};{электростарт};B&S 380447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;790х550х650;138
0;1183;Бензиновый генератор Geko 13002 ED-S/SEBA SS;Бензиновый генератор Geko 13002 ED-S/SEBA SS;"&nbsp;";"<a href=""/geko.html""> Бензиновые генераторы Geko</a> продажа.";392700;0;0;0;Бензиновая электростанция Geko 13002 ED-S/SЕBA SS;Бензиновая электростанция Geko 13002 ED-S/SЕBA SS;0;1;;{Geko};Германия;{в кожухе};{электростарт};B&S 380447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};57;820х440х580;150
0;946;Бензиновый генератор Geko 2802 E-A/HHBA SS;Бензиновый генератор Geko 2802 E-A/HHBA SS;"&nbsp;";"Бензиновые <a href=""/geko.html""> электростанции Geko</a>.";76860;0;0;0;Бензиновая электростанция Geko 2802 E–A/HHBA SS;Бензиновая электростанция Geko 2802 E–A/HHBA SS;0;1;;{Geko};Германия;{в кожухе};{ручной};Honda GX 200;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};61;595х420х470;55
0;959;Бензиновый генератор Geko 3000 E-AA/HHBA;Бензиновый генератор Geko 3000 E-AA/HHBA;"&nbsp;";"Geko 3000 E-AA/HHBA &ndash; отличный <a href=""/page_28.html"">безниновый электрогенератор</a> с малой мощностью, который можно использовать практически повсеместно. Несмотря на выходное значение номинальной мощности в 2,7 кВт, он прекрасно зарекомендовал себя для запитки стандартного слесарного и электроинструмента. <p style=""margin-bottom: 0cm"">Основное использование &ndash; в бытовом и полупрофессиональном применении, когда необходимо обеспечить высокую мобильность и автономность работы. Генератор способен работать до 5 часов без долива топлива при 100% нагрузке при небольшом 8-литровом баке, благодаря экономичному расходу горючего.</p> <p style=""margin-bottom: 0cm"">Кроме того, отличным дополнением к столь высокой автономности станет малый вес в 48 кг. Это позволяет использовать генератор при выездных работах, практически повсеместно в городе и за его пределами.</p> <p style=""margin-bottom: 0cm"">Еще одной важнейшей особенностью является защитное исполнение корпуса. На стальной трубчатой раме расположен двигатель Honda и все внутренние узлы, выполненные с классом защиты IP 54. Это отличное средство для использования в сырую погоду, при большом количестве пыли и грязи.</p> <p style=""margin-bottom: 0cm"">Генератор создает уровень шума в 63 дБ, что существенно ниже, чем у аналогов большей мощности. Все это позволяет применять его в энергопитании частных хозяйств, коттеджей и для полупрофессионального использования.</p> А если вас интересует что-нибудь помощнее, посмотрите <a href=""/geko.html"">дизельный генератор Geko</a>.";104580;0;0;0;Бензиновая электростанция Geko 3000 E-AA/HHBA;Бензиновая электростанция Geko 3000 E-AA/HHBA;0;1;;{Geko};Германия;{без кожуха};{ручной};Honda GX 200;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};68;510х405х395;48
0;989;Бензиновый генератор Geko 4400 ED-A/HEBA;Бензиновый генератор Geko 4400 ED-A/HEBA;<br />;"Модификация генератора <a href=""/geko.html"">Geko</a> 4400 ED-A, оснащенная электростартером. На этом различия с базовой моделью HHBA заканчиваются. Все тот же двигатель Honda, развивающий мощность до 4,2 кВт, при номинальной мощности 3,8 кВт. Возможность подключения к трехфазной или однофазной сети с заземлением. Небольшой вес, маленький бензобак, которого хватает на 2 часа автономной работы генератора.<br /> <br /> Эти <a href=""/page_30.html"">бензогенераторы</a> средней мощности предназначены для использования в полупрофессиональной и профессиональной отрасли. Они хорошо подходят для питания инструмента средней мощности и газонокосилок, могут использоваться в системах автономного энергоснабжения.<br /> <p style=""margin-bottom: 0cm"">Если Вам нужна техника, работающая дольше, следует посмотреть другой вариант, но если малая вместимость бака не смущает, можно выбрать этот относительно легкий генератор.</p>";70560;0;0;0;Бензиновая электростанция Geko 4400 ED-А/HEBA;Бензиновая электростанция Geko 4400 ED-А/HEBA;0;1;;{Geko};Германия;{без кожуха};{электростарт};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;740х500х530;77
